date,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_7,transformer_8,transformer_9,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_17,transformer_18,transformer_19,transformer_20,transformer_21,transformer_22,transformer_23,transformer_24,transformer_25,transformer_26,transformer_27,transformer_28,transformer_29,transformer_30,transformer_31,transformer_32,transformer_33,transformer_34,transformer_35,transformer_36,transformer_37,transformer_38,transformer_39
2019-12-09T00:00:00.000000+0000,130.3329,12.5639,67.94441,61.07299,24.16782,59.17313,95.49926,92.58134,51.44643,71.7057,84.23705,68.60506,67.45966,27.72949,109.4794,16.95063,61.00409,32.38216,52.39985,97.58303,110.426,70.96813,10.68911,48.75031,59.93931,52.81773,72.13111,30.61605,57.82872,81.94587,94.20106,81.17924,10.745,68.94038,126.1866,62.60525,26.60356,38.21166,19.564
2019-12-09T00:15:00.000000+0000,120.1047,12.13932,64.25549,54.66032,22.47123,54.22992,89.06416,92.94045,53.1381,70.89266,91.79366,66.1036,68.26605,27.31126,105.0537,16.52873,58.98101,34.25835,42.02588,105.8669,108.7716,70.28224,10.59823,45.95475,61.5729,52.79362,73.73382,28.29844,58.73528,82.05237,87.63593,75.40709,10.60177,65.88889,132.0247,53.82162,26.02472,35.61256,17.40388
2019-12-09T00:30:00.000000+0000,122.5587,11.91154,60.53577,53.49541,21.95226,55.95426,91.16628,93.73982,51.42866,64.98934,81.15121,62.9902,64.2113,26.28018,106.3642,17.27745,67.81203,33.2174,37.25124,105.0229,104.6806,64.08732,10.71034,43.14766,60.93055,48.86814,73.77271,32.92053,58.63594,80.86829,80.32367,76.88511,10.32326,62.10484,122.8212,52.05832,24.65824,32.82562,19.70403
2019-12-09T00:45:00.000000+0000,119.112,11.98815,57.564,54.96485,24.086,56.51333,88.28242,90.09124,42.61533,57.43188,85.94406,64.00945,64.15504,26.11271,102.9769,17.69401,60.873,28.66432,35.6086,96.10351,103.9689,56.2111,10.42371,45.63244,58.44552,48.64333,72.22424,28.40337,49.66483,77.26077,74.02007,71.51233,10.60295,62.78626,122.5866,54.24997,23.32872,31.55306,19.18051
2019-12-09T01:00:00.000000+0000,121.0431,11.80608,59.47508,51.51765,22.8985,56.88424,79.78625,85.85334,40.35939,56.78154,92.50674,57.17001,65.58431,23.7018,102.331,15.81742,61.46726,30.48484,38.52855,92.17914,94.69345,54.67788,10.36856,39.66855,60.64789,49.14456,69.13021,31.69046,50.94399,72.7572,75.71094,71.11893,9.986523,60.96056,115.1402,51.86668,20.48185,34.10563,13.99367
2019-12-09T01:15:00.000000+0000,116.0707,11.73099,58.05312,51.58483,22.46894,60.1036,80.04227,86.05801,37.47986,53.41765,83.41288,57.27437,59.84982,25.3005,99.11525,15.99411,62.11749,27.73385,39.3108,106.4737,89.00964,57.10825,10.34204,40.48165,57.44855,48.49802,70.09799,27.44082,44.80264,74.57705,75.97799,70.21727,10.66823,58.3744,104.7037,48.85698,20.43644,33.73558,11.04475
2019-12-09T01:30:00.000000+0000,118.5866,12.14442,58.88944,56.00568,21.663,58.83185,78.04897,84.01336,39.1633,55.37856,92.34007,57.99783,58.17393,23.72103,97.5116,15.24941,69.87527,31.02593,40.2061,107.2189,93.65228,58.84069,10.40159,42.115,56.4031,44.73774,67.38821,31.51308,43.21357,73.46297,75.48432,64.9763,10.51315,58.28906,107.7128,50.10056,20.47879,34.72601,11.5326
2019-12-09T01:45:00.000000+0000,109.052,11.87103,58.26164,54.33695,22.75688,55.32231,77.58376,84.69915,36.40159,59.46949,87.88064,53.35666,61.17312,26.98016,98.99444,13.96968,59.37083,24.32599,39.09641,101.5623,94.17064,56.13168,10.49763,40.52732,55.05923,43.46999,67.00911,24.88573,32.34144,71.38907,70.69836,61.80968,10.15613,60.94638,115.1542,47.74525,19.57107,33.09304,11.45083
2019-12-09T02:00:00.000000+0000,108.0725,11.46916,57.38168,50.08433,21.18999,53.78708,77.49939,83.33082,35.39141,58.45699,86.21334,52.65751,60.57916,24.20181,96.78425,14.24542,60.14783,24.77495,43.96721,95.52594,90.96893,57.34436,10.47926,41.3009,50.99642,47.12264,65.56606,23.61755,32.87264,73.56165,74.43294,63.41433,10.18209,58.11547,107.9982,44.39331,21.1466,35.20365,14.62028
2019-12-09T02:15:00.000000+0000,115.5029,11.85091,63.41308,46.78085,20.93952,52.80873,75.99821,83.22431,39.38429,62.06719,109.3531,57.05074,59.14298,26.38881,96.25191,13.90714,64.59042,26.02302,39.28619,104.103,95.02406,59.68328,10.48745,38.00821,50.09626,44.95662,68.28463,23.24533,35.36555,72.18373,72.1364,64.19224,11.26078,54.72226,105.3649,43.40982,21.28361,32.64753,13.12346
